date,btc
1/31/2016,365.52
2/1/2016,371.42
2/2/2016,372.9
2/3/2016,368.98
2/4/2016,389.96
2/5/2016,386.54
2/6/2016,373.75
2/7/2016,372.01
2/8/2016,370.49
2/9/2016,374.31
2/10/2016,381.17
2/11/2016,377.99
2/12/2016,382.94
2/13/2016,393
2/14/2016,408.3
2/15/2016,399.9
2/16/2016,407.27
2/17/2016,414.88
2/18/2016,421.5
2/19/2016,419.85
2/20/2016,438.7
2/21/2016,440.49
2/22/2016,440.27
2/23/2016,421.4
2/24/2016,426.36
2/25/2016,424.88
2/26/2016,435.49
2/27/2016,434.3
2/28/2016,434.45
2/29/2016,438.99
3/1/2016,434.82
3/2/2016,422.09
3/3/2016,420.56
3/4/2016,408.82
3/5/2016,397.36
3/6/2016,403.75
3/7/2016,412.7
3/8/2016,411.35
3/9/2016,413.05
3/10/2016,416.51
3/11/2016,420.47
3/12/2016,410.01
3/13/2016,411.87
3/14/2016,415.91
3/15/2016,415.5
3/16/2016,417.28
3/17/2016,418.75
3/18/2016,407.86
3/19/2016,408.68
3/20/2016,411.25
3/21/2016,411.88
3/22/2016,417.7
3/23/2016,418.12
3/24/2016,415.3
3/25/2016,416
3/26/2016,416.71
3/27/2016,427.36
3/28/2016,424.06
3/29/2016,416
3/30/2016,413.12
3/31/2016,416.02
4/1/2016,417.9
4/2/2016,420.3
4/3/2016,420.6
4/4/2016,420.46
4/5/2016,423.75
4/6/2016,422.57
4/7/2016,422.28
4/8/2016,418.5
4/9/2016,418.47
4/10/2016,421.32
4/11/2016,423.74
4/12/2016,426.59
4/13/2016,424.75
4/14/2016,426.01
4/15/2016,431.48
4/16/2016,432.04
4/17/2016,428.51
4/18/2016,430.03
4/19/2016,437.76
4/20/2016,443.85
4/21/2016,452.26
4/22/2016,447.8
4/23/2016,453.69
4/24/2016,463.02
4/25/2016,461.77
4/26/2016,468.14
4/27/2016,444.85
4/28/2016,450.46
4/29/2016,455.32
4/30/2016,446.6
5/1/2016,451.11
5/2/2016,443.73
5/3/2016,450.39
5/4/2016,447.38
5/5/2016,448.4
5/6/2016,461.18
5/7/2016,460.2
5/8/2016,459.87
5/9/2016,461.56
5/10/2016,450.7
5/11/2016,452.28
5/12/2016,455.01
5/13/2016,455.76
5/14/2016,455.8
5/15/2016,457.89
5/16/2016,453.01
5/17/2016,453.24
5/18/2016,453.52
5/19/2016,434.55
5/20/2016,441.57
5/21/2016,440.81
5/22/2016,437.48
5/23/2016,443.51
5/24/2016,445.03
5/25/2016,449.09
5/26/2016,453.95
5/27/2016,472.01
5/28/2016,526.02
5/29/2016,531
5/30/2016,532.89
5/31/2016,530.69
6/1/2016,536.79
6/2/2016,538.8
6/3/2016,570.87
6/4/2016,572.87
6/5/2016,574.02
6/6/2016,585.34
6/7/2016,576.88
6/8/2016,583.05
6/9/2016,575.52
6/10/2016,580.09
